,Balcony,Club House,Garden View,Lux_Revo,MTR nearby,Mountain View,River View,Rooftop,Sea View,Shopping Mall nearby,Swimming,Terrace,bedroom_amount,building,car_parking,floor_level,link,location,net_area,price,price_per,Garden view
10927,,,,,,,,,,,,,,,,,https://www.hkp.com.hk/en/property/Kowloon-Cheung-Sha-Wan-Sham-Shui-Po-Sui-Cheong-House-Flat-C-H200203820,Sham Shui Po,281,4450000,15836.0,
10928,,1,,,,,,,,,1,,3.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Tong-Ming-Court-Block-B-Tong-Wong-House-Low-Floor-Flat-11-H200203845,Tseung Kwan O Town Centre,601,0,0.0,
10929,,,,,1,,,,,1,,,2.0,,,L,https://www.hkp.com.hk/en/property/New-Territories-Yuen-Long-The-Reach-Tower-12-Low-Floor-Flat-F-H300203810,Yuen Long,355,5450000,15352.0,
10930,,,,,,,,,,,,,3.0,,,M,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Taikoo-Sai-Wan-Ho-Taikoo-Shing-Kao-Shan-Terrace-Wah-Shan-Mansion-Middle-Floor-Flat-G-H100037618,Sai Wan Ho,685,12880000,18803.0,
10931,,,,,,,,,,,,,4.0,,,L,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Happy-Valley-Jardine-s-Lookout-Fontana-Gardens-Block-D-Low-Floor-Flat-12-H100081053,Jardine's Lookout,2690,78000000,28996.0,
10932,,,,,,,,,,,,,3.0,,,M,https://www.hkp.com.hk/en/property/Hong-Kong-Island-North-Point-North-Point-Mid-Levels-Wah-Hai-Mansion-Middle-Floor-Flat-A-H100176996,North Point Mid-Levels,1285,15500000,12062.0,
10933,,,,,,,,1,,,,,2.0,,1,L,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Quarry-Bay-Grandview-Court-Low-Floor-Flat-B-H100203662,Quarry Bay,337,6600000,19585.0,1
10934,1,1,,,,,,,,,1,,,,,,https://www.hkp.com.hk/en/property/New-Territories-Sai-Kung-Clear-Water-Bay-The-Giverny-Hiram-s-Highway-House-H200015194,Clear Water Bay,2371,45000000,18979.0,1
10935,1,1,,,,1,,,,1,1,,3.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Kai-Tak-K-City-Tower-7-Low-Floor-Flat-F-H200066285,Kai Tak,726,19500000,26860.0,1
10936,,1,,,,,,,,,,,2.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Diamond-Hill-San-Po-Kong-Ngau-Chi-Wan-The-Latitude-Block-1B-Low-Floor-Flat-B-H200075981,San Po Kong,534,11000000,20599.0,
